"","animal_id","animal_name","animal_type","primary_color","secondary_color","sex","dob","intake_date","intake_condition","intake_type","intake_subtype","reason_for_intake","outcome_date","crossing","jurisdiction","outcome_type","outcome_subtype","latitude","longitude","outcome_is_dead","was_outcome_alive","geopoint","color","intake"
"20","A644710","*french fry","cat","brown  tabby",NA,"Neutered",2020-01-02,2020-07-02,"normal","stray","otc",NA,2020-08-02,"100 BLK E 52ND ST, LONG BEACH, CA 90805","Long Beach","adoption","pfe/pawshp",33.8504744,-118.1936361,FALSE,TRUE,"33.8504744, -118.1936361","other","normal"
"21","A673113","*amelia","cat","black","white","Spayed",2021-11-14,2022-04-15,"normal","stray","otc",NA,2022-04-23,"100 BLK E 55TH ST, LONG BEACH, CA 90805","Long Beach","adoption","web",33.8557059,-118.1936188,FALSE,TRUE,"33.8557059, -118.1936188","black","normal"
"22","A635815","*lynx","cat","brown  tabby","white","Male",2019-09-06,2019-11-06,"normal","stray","otc",NA,2019-11-13,"100 BLK E 56TH ST, LONG BEACH, CA 90805","Long Beach","rescue","littlepaws",33.8575496,-118.1954039,FALSE,TRUE,"33.85754960000001, -118.1954039","other","normal"
"23","A607623","*deena","cat","white","black","Spayed",2016-05-15,2018-05-15,"normal","stray","field",NA,2018-06-12,"100 BLK E 60TH ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8641608,-118.1935283,FALSE,TRUE,"33.8641608, -118.1935283","white","normal"
"24","A719152","*bigfoot","cat","gray tabby","black","Neutered",2023-04-19,2024-04-18,"fractious","stray","otc",NA,2024-04-27,"100 BLK E 68TH STREET LONG BEACH CA 90805","Long Beach","community cat",NA,33.8775178,-118.2025528,FALSE,TRUE,"33.8775178, -118.2025528","grey","feral_fractious"
"25","A615807","*penny","cat","calico",NA,"Spayed",2015-10-06,2018-10-06,"normal","stray","otc",NA,2018-12-16,"100 BLK E 69TH ST, LONG BEACH, CA 90805","Long Beach","adoption","walkin",33.8793159,-118.2026829,FALSE,TRUE,"33.8793159, -118.2026829","multi","normal"
"26","A615811",NA,"cat","white",NA,"Female",2018-07-22,2018-10-06,"normal","stray","otc",NA,2018-10-06,"100 BLK E 69TH ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill modera",33.8793159,-118.2026829,TRUE,FALSE,"33.8793159, -118.2026829","white","normal"
"27","A601110","memphis","cat","brown  tabby",NA,"Neutered",2013-12-15,2017-12-15,"feral","stray","otc",NA,2017-12-28,"100 BLK E EAGLE ST, LONG BEACH, CA 90806","Long Beach","shelter, neuter, return","straycatal",33.7996711,-118.1923808,FALSE,TRUE,"33.7996711, -118.1923808","other","feral_fractious"
"28","A678876","*jellybean","cat","white","gray","Neutered",2022-04-05,2022-07-05,"ill mild","stray","field",NA,2022-08-25,"100 BLK E ELDRIDGE ST, LONG BEACH, CA 90807","Long Beach","adoption",NA,33.812501,-118.192098,FALSE,TRUE,"33.812501, -118.192098","white","mild"
"29","A646298",NA,"cat","orange tabby","white","Neutered",2019-11-26,2020-07-26,"normal","stray","field",NA,2020-07-26,"100 BLK E HULLETT ST, LONG BEACH, CA 90805","Long Beach","return to owner",NA,33.8628136,-118.1939022,FALSE,TRUE,"33.8628136, -118.1939022","orange","normal"
"30","A676941",NA,"cat","seal point",NA,"Unknown",2022-05-07,2022-06-07,"ill severe","stray","field",NA,2022-06-07,"100 BLK E LOUISE ST, LONG BEACH, CA 90805","Long Beach","died","enroute",33.8549875,-118.1934587,TRUE,FALSE,"33.8549875, -118.1934587","grey","severe"
"31","A633447",NA,"cat","orange","white","Male",2019-07-12,2019-09-12,"normal","stray","aban field",NA,2019-09-13,"100 BLK E MARKET ST, LONG BEACH, CA 90805","Long Beach","rescue","littlepaws",33.8540693,-118.1935615,FALSE,TRUE,"33.8540693, -118.1935615","orange","normal"
"32","A607876",NA,"cat","gray tabby",NA,"Female",2018-05-16,2018-05-19,"normal","stray","otc",NA,2018-08-11,"100 BLK E MARKET ST, LONG BEACH, CA 90805","Long Beach","rescue","catpaws",33.8540693,-118.1935615,FALSE,TRUE,"33.8540693, -118.1935615","grey","normal"
"33","A650200","*oogie","cat","black","white","Neutered",2020-06-16,2020-10-16,"normal","stray","field",NA,2020-11-05,"100 BLK E MARKET, LONG BEACH, CA 90806","Long Beach","adoption","web",33.8540693,-118.1935615,FALSE,TRUE,"33.8540693, -118.1935615","black","normal"
"34","A728575",NA,"cat","orange tabby","white","Male",2024-08-12,2024-09-12,"ill severe","stray","field",NA,2024-09-13,"100 BLK E NORTON ST, LB 90805","Long Beach","euthanasia","at vet",33.8584052,-118.1898668,TRUE,FALSE,"33.8584052, -118.1898668","orange","severe"
"35","A717689","kitten 2","cat","black tabby","white","Unknown",NA,2024-03-26,"normal","stray","field",NA,2024-03-28,"100 BLK E OSGOOD ST, LONG BEACH, CA 90805","Long Beach","rescue","littlelion",33.8634376,-118.1939327,FALSE,TRUE,"33.8634376, -118.1939327","black","normal"
"36","A593069","*aspen","cat","black",NA,"Female",2017-04-07,2017-07-07,"normal","stray","otc",NA,2017-07-20,"100 BLK E PLYMOUTH ST, LONG BEACH, CA 90805","Long Beach","adoption","spcala",33.8531119,-118.1935153,FALSE,TRUE,"33.8531119, -118.1935153","black","normal"
"37","A691580","halloween kitty","cat","black","white","Male",NA,2023-01-07,"normal","stray","otc",NA,2023-01-11,"100 BLK E. 52ND ST, LONG BEACH, CA 90805","Long Beach","return to owner","walkin",33.8504744,-118.1936361,FALSE,TRUE,"33.8504744, -118.1936361","black","normal"
"38","A647850","mama kitty","cat","gray","white","Spayed",2018-08-27,2020-08-27,"normal","stray","field",NA,2020-08-28,"100 BLK THE TOLEDO, LONG BEACH, CA 90803","Long Beach","return to owner","phone",33.7543452,-118.1235029,FALSE,TRUE,"33.7543452, -118.1235029","grey","normal"
"39","A721633","*amaretto","cat","orange tabby",NA,"Neutered",2019-05-27,2024-05-27,"ill moderatete","stray","field",NA,2024-06-14,"100 BLK W 20TH ST, LB 90806","Long Beach","community cat",NA,33.7934837,-118.1923744,FALSE,TRUE,"33.7934837, -118.1923744","orange","moderate"
"40","A700329","*geez","cat","brown  tabby",NA,"Male",2023-04-07,2023-06-07,"ill moderatete","stray","otc",NA,2023-06-08,"100 BLK W 52ND ST, LONG BEACH, CA 90805","Long Beach","died","at vet",33.8502533,-118.1981314,TRUE,FALSE,"33.8502533, -118.1981314","other","moderate"
"41","A728691","*paislee","cat","gray tabby","orange tabby","Spayed",2024-01-16,2024-09-16,"ill moderatete","stray","field",NA,2024-09-30,"100 BLK W ARBOR ST","Long Beach","community cat","commcat",33.8436238,-118.1968518,FALSE,TRUE,"33.8436238, -118.1968518","grey","moderate"
"42","A718143","douglas","cat","orange tabby",NA,"Male",2024-02-24,2024-04-05,"ill mild","stray","field",NA,2024-04-07,"100 BLK W LOUISE ST","Long Beach","rescue","littlelion",33.8548651,-118.1986475,FALSE,TRUE,"33.8548651, -118.1986475","orange","mild"
"43","A704062","*mickey","cat","black",NA,"Male",2023-07-03,2023-08-02,"normal","stray","otc",NA,2023-08-24,"100 BLOCK E 15TH ST, LONG BEACH CA","Long Beach","rescue","littlepaws",33.7853157,-118.1923888,FALSE,TRUE,"33.7853157, -118.1923888","black","normal"
"44","A704064","*my sharona","cat","black",NA,"Female",2023-07-03,2023-08-02,"normal","stray","otc",NA,2023-08-24,"100 BLOCK E 15TH ST, LONG BEACH CA","Long Beach","rescue","littlepaws",33.7853157,-118.1923888,FALSE,TRUE,"33.7853157, -118.1923888","black","normal"
"45","A704058",NA,"cat","black",NA,"Spayed",2022-08-02,2023-08-02,"normal","stray","otc",NA,2023-10-25,"100 BLOCK E 15TH ST, LONG BEACH CA","Long Beach","community cat","friendly",33.7853157,-118.1923888,FALSE,TRUE,"33.7853157, -118.1923888","black","normal"
"46","A695283","*ruby","cat","point",NA,"Female",2022-03-24,2023-03-24,"ill moderatete","stray","otc",NA,2023-03-24,"100 E 56TH ST LB CA 90805","Long Beach","rescue","littlelion",33.8575496,-118.1954039,FALSE,TRUE,"33.85754960000001, -118.1954039","grey","moderate"
"47","A672417",NA,"cat","calico",NA,"Unknown",2019-03-28,2022-03-28,"ill severe","stray","field",NA,2022-03-28,"100 E 67TH ST, LONG BEACH, CA 90805","Long Beach","missing","enroute",33.8759962,-118.2032146,FALSE,TRUE,"33.8759962, -118.2032146","multi","severe"
"48","A606743","*satin","cat","white",NA,"Male",2016-04-26,2018-04-26,"normal","stray","otc",NA,2018-05-03,"100 E ADAIR ST, LONG BEACH, CA 90805","Long Beach","transfer","spcala",33.8639455,-118.1925682,FALSE,TRUE,"33.8639455, -118.1925682","white","normal"
"49","A647366","*adam","cat","orange tabby",NA,"Neutered",2016-08-18,2021-02-22,"ill mild","stray","trap",NA,2021-02-25,"100 E ADAMS ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill severe",33.8695686,-118.2009737,TRUE,FALSE,"33.8695686, -118.2009737","orange","mild"
"50","A647365","a647365","cat","gray tabby","white","Spayed",2019-08-18,2020-08-18,"ill mild","stray","trap",NA,2020-09-10,"100 E ADAMS ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8695686,-118.2009737,FALSE,TRUE,"33.8695686, -118.2009737","grey","mild"
"51","A647363","a647363","cat","black",NA,"Spayed",2019-08-18,2020-08-18,"ill mild","stray","trap",NA,2020-09-05,"100 E ADAMS ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8695686,-118.2009737,FALSE,TRUE,"33.8695686, -118.2009737","black","mild"
"52","A617089","*cleo","cat","black","black","Female",2016-11-03,2018-11-03,"normal","stray","otc",NA,2018-12-30,"100 E ELDRIDGE ST, LONG BEACH, CA 90807","Long Beach","rescue","other resc",33.812501,-118.192098,FALSE,TRUE,"33.812501, -118.192098","black","normal"
"53","A587846",NA,"cat","black","white","Female",2014-03-31,2017-03-31,"normal","stray","otc",NA,2017-04-03,"100 E ELDRIDGE ST, LONG BEACH, CA 90807","Long Beach","transfer","spcala",33.812501,-118.192098,FALSE,TRUE,"33.812501, -118.192098","black","normal"
"54","A724679","*symphony","cat","gray","white","Spayed",2023-07-15,2024-07-14,"normal","stray","aban field",NA,2024-08-04,"100 E LOUSIE ST","Long Beach","rescue","kittybunga",33.8549898,-118.1934473,FALSE,TRUE,"33.8549898, -118.1934473","grey","normal"
"55","A615547",NA,"cat","brown  tabby",NA,"Unknown",2018-08-03,2018-10-03,"ill severe","stray","field",NA,2018-10-03,"100 E SUNSET ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill severe",33.8490603,-118.1934987,TRUE,FALSE,"33.8490603, -118.1934987","other","severe"
"56","A723520",NA,"cat","orange","white","Male",2024-03-27,2024-06-27,"ill moderatete","stray","field",NA,2024-06-27,"100 W ARBOR ST","Long Beach","euthanasia","ill severe",33.8436238,-118.1968518,TRUE,FALSE,"33.8436238, -118.1968518","orange","moderate"
"57","A585027","*rollo","cat","tortie",NA,"Spayed",2014-01-25,2017-01-25,"normal","stray","otc",NA,2017-02-01,"100 W BARCLAY ST, LONG BEACH, CA 90805","Long Beach","shelter, neuter, return","straycatal",33.8661015,-118.2027924,FALSE,TRUE,"33.8661015, -118.2027924","multi","normal"
"58","A650857",NA,"cat","brown  tabby",NA,"Unknown",2020-09-25,2020-11-04,"normal","stray","trap",NA,2020-11-04,"1000 BLK 1ST ST, LONG BEACH CA 90802","Long Beach","rescue","littlepaws",33.767028,-118.1805863,FALSE,TRUE,"33.767028, -118.1805863","other","normal"
"59","A684309","kitty ray","cat","brown","gray","Spayed",2014-09-18,2022-09-17,"normal","stray","otc",NA,2022-10-09,"1000 BLK ALAMITOS AVE, LONG BEACH, CA 90813","Long Beach","rescue","earlysrep",33.7789677,-118.17907,FALSE,TRUE,"33.7789677, -118.17907","brown","normal"
"60","A648159","greyson","cat","gray tiger",NA,"Neutered",2020-02-10,2020-06-10,"normal","stray","field",NA,2020-06-12,"1000 BLK ALAMITOS AVE, LONG BEACH, CA 90813","Long Beach","adoption","good sam",33.7789677,-118.17907,FALSE,TRUE,"33.7789677, -118.17907","grey","normal"
"61","A728415","*rawri","cat","orange tabby","white","Neutered",2024-06-11,2024-09-11,"ill moderatete","stray","otc",NA,2024-09-21,"1000 BLK ATLANTIC AVE, LB  90813","Long Beach","community cat","friendly",33.7789781,-118.1850513,FALSE,TRUE,"33.7789781, -118.1850513","orange","moderate"
"62","A721306","*kona","cat","black",NA,"Spayed",2024-03-20,2024-05-22,"normal","owner surrender","otc","cost",2024-06-08,"00 BLK E 68TH WAY LONG BEACH CA 90805","Long Beach","adoption","mobile app",33.8784962,-118.2039496,FALSE,TRUE,"33.8784962, -118.2039496","black","normal"
"63","A721307","*peppermint","cat","brown  tabby",NA,"Neutered",2024-03-20,2024-05-22,"normal","owner surrender","otc","cost",2024-05-24,"00 BLK E 68TH WAY LONG BEACH CA 90805","Long Beach","adoption","web",33.8784962,-118.2039496,FALSE,TRUE,"33.8784962, -118.2039496","other","normal"
"64","A707072",NA,"cat","black",NA,"Female",2023-08-04,2023-09-19,"ill moderatete","stray","field",NA,2023-09-20,"1000 BLK CEDAR AVE, LONG BEACH, CA 90813","Long Beach","euthanasia","ill mild",33.7789902,-118.1950695,TRUE,FALSE,"33.7789902, -118.1950695","black","moderate"
"65","A640529","bean","cat","gray tabby",NA,"Female",2019-02-28,2020-02-28,"normal","stray","otc",NA,2020-03-23,"00 BLK ESPERANZA AVE, LONG BEACH, CA 90802","Long Beach","rescue","littlelion",33.7656392,-118.1753959,FALSE,TRUE,"33.7656392, -118.1753959","grey","normal"
"66","A602802",NA,"cat","black","white","Unknown",2015-01-19,2018-01-19,"ill mild","stray","field",NA,2018-01-19,"00 BLK W 53RD ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill modera",33.8524273,-118.1959944,TRUE,FALSE,"33.8524273, -118.1959944","black","mild"
"67","A706437","*akita","cat","tortie",NA,"Female",2023-08-04,2023-09-07,"normal","stray","otc",NA,2023-10-23,"00 BLOCK E MARKET ST, LONG BEACH CA","Long Beach","rescue","littlelion",33.8542837,-118.1964921,FALSE,TRUE,"33.8542837, -118.1964921","multi","normal"
"68","A694972","*princess peach","cat","seal point",NA,"Female",2022-03-19,2023-03-19,"fractious","stray","otc",NA,2023-03-19,"1000 BLK E 12TH ST LB CA 90813","Long Beach","rescue","littlelion",33.781478,-118.1806515,FALSE,TRUE,"33.781478, -118.1806515","grey","feral_fractious"
"69","A604761",NA,"cat","silver tabby","white","Female",2015-03-12,2018-03-12,"normal","stray","otc",NA,2018-03-15,"1000 BLK E 15TH ST, LONG BEACH, CA 90813","Long Beach","transfer","spcala",33.7862224,-118.180078,FALSE,TRUE,"33.7862224, -118.180078","grey","normal"
"70","A607684","*dose","cat","black","white","Neutered",2016-05-16,2018-05-16,"fractious","stray","field",NA,2018-05-31,"1000 BLK E 16TH ST, LONG BEACH, CA 90813","Long Beach","shelter, neuter, return","straycatal",33.7868197,-118.1783397,FALSE,TRUE,"33.7868197, -118.1783397","black","feral_fractious"
"71","A650198","sonia","cat","black","white","Spayed",2015-10-16,2020-10-16,"normal","welfare seized","police",NA,2020-11-04,"10 65TH PL, LONG BEACH, CA 90803","Long Beach","adoption","web",33.7471067,-118.1212655,FALSE,TRUE,"33.7471067, -118.1212655","black","normal"
"72","A649244","*misty helen","cat","calico",NA,"Female",2005-09-22,2020-09-22,"ill mild","stray","field",NA,2021-02-11,"10 BLK W LOUISE ST, LONG BEACH, CA 90805","Long Beach","rescue","lbsnnres",33.8548773,-118.1971016,FALSE,TRUE,"33.8548773, -118.1971016","multi","mild"
"73","A597860",NA,"cat","brown","tan","Female",2004-09-27,2017-09-27,"normal","stray","field",NA,2017-10-01,"10 BLK W PLEASANT ST, LONG BEACH, CA 90805","Long Beach","euthanasia","ill severe",33.8460665,-118.1940513,TRUE,FALSE,"33.8460665, -118.1940513","brown","normal"
"74","A725549",NA,"cat","black",NA,"Male",2023-07-25,2024-07-25,"ill severe","stray","field",NA,2024-07-26,"10 BLK XIMENO AVE, LONG BEACH, CA 90803","Long Beach","euthanasia","ill severe",33.7584892,-118.1434117,TRUE,FALSE,"33.7584892, -118.1434117","black","severe"
"75","A613555","*olimar","cat","brown  tabby",NA,"Neutered",2014-08-24,2018-08-24,"fractious","stray","otc",NA,2018-09-07,"1000 BLK E 5TH ST, LONG BEACH, CA 90802","Long Beach","shelter, neuter, return","straycatal",33.7729834,-118.1796718,FALSE,TRUE,"33.7729834, -118.1796718","other","feral_fractious"
"76","A610273","*august","cat","brown  tabby",NA,"Neutered",2016-06-27,2018-06-27,"normal","stray","trap",NA,2018-07-11,"1000 BLK E 5TH ST, LONG BEACH, CA 90802","Long Beach","shelter, neuter, return","straycatal",33.7729834,-118.1796718,FALSE,TRUE,"33.7729834, -118.1796718","other","normal"
"77","A614293",NA,"cat","brown  tabby",NA,"Unknown",2018-02-08,2018-09-08,"normal","stray","trap",NA,2018-09-17,"1000 BLK E 5TH ST, LONG BEACH, CA 90802","Long Beach","euthanasia","ill severe",33.7729834,-118.1796718,TRUE,FALSE,"33.7729834, -118.1796718","other","normal"
"78","A612836","*alex","cat","black",NA,"Neutered",2013-08-15,2018-08-15,"normal","stray","trap",NA,2018-08-21,"1000 BLK E 5TH ST, LONG BEACH, CA 90802","Long Beach","shelter, neuter, return","straycatal",33.7729834,-118.1796718,FALSE,TRUE,"33.7729834, -118.1796718","black","normal"
"79","A625151","spirit","cat","tortie",NA,"Female",2017-04-23,2019-04-23,"ill severe","stray","field",NA,2019-05-05,"100 BLK ATLANTIC AVE, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501","multi","severe"
"80","A586175","*jesse","cat","calico","brown  tabby","Female",2016-10-23,2017-02-23,"normal","owner surrender","otc","too many",2017-02-23,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864","multi","normal"
"81","A613424",NA,"cat","gray","white","Male",2017-10-22,2018-08-22,"ill severe","stray","field",NA,2018-08-22,"1000 BLK E 70TH WAY, LONG BEACH, CA 90805","Long Beach","died","enroute",33.8825758,-118.1808452,TRUE,FALSE,"33.8825758, -118.1808452","grey","severe"
"82","A586181","luke","cat","lilac lynx point","tan","Male",2015-02-23,2017-02-23,"normal","owner surrender","otc","too many",2017-02-23,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864","grey","normal"
"83","A586197","oscar","cat","orange tabby",NA,"Male",2013-02-23,2017-02-23,"normal","owner surrender","otc","too many",2017-02-24,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864","orange","normal"
"84","A586202","toby","cat","snowshoe",NA,"Neutered",2015-02-23,2017-02-23,"normal","owner surrender","otc","too many",2017-04-21,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802","Long Beach","adoption","pfe/pawshp",33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864","multi","normal"
"85","A677448","*datsun","cat","black tabby",NA,"Neutered",2019-06-12,2022-06-12,"ill mild","stray","otc",NA,2022-06-23,"1000 BLK E 7TH ST, LONG BEACH, CA 90813","Long Beach","community cat","friendly",33.7751351,-118.1799603,FALSE,TRUE,"33.7751351, -118.1799603","black","mild"
"86","A732434","*star","cat","gray tabby",NA,"Spayed",2024-08-13,2024-11-13,"ill mild","stray","otc",NA,2024-12-13,"1000 BLK E 7TH STREET LONG BEACH CA 90813","Long Beach","adoption","web",33.7751351,-118.1799603,FALSE,TRUE,"33.7751351, -118.1799603","grey","mild"
"87","A598295","*mayflower","cat","black",NA,"Spayed",2016-10-05,2017-10-05,"normal","stray","field",NA,2017-11-15,"1000 BLK E BROADWAY, LONG BEACH, CA 90802","Long Beach","transfer","spcala",33.7687786,-118.1802839,FALSE,TRUE,"33.7687786, -118.1802839","black","normal"
"88","A714792","*moe","cat","blonde","white","Neutered",2023-12-26,2024-02-10,"normal","stray","otc",NA,2024-02-10,"1000 BLK E CHANDA CT LONG BEACH CA 90813","Long Beach","rescue","capaws",33.7762165,-118.1798936,FALSE,TRUE,"33.7762165, -118.1798936","yellow","normal"
"89","A714986","*wonna","cat","brown  tabby","black","Spayed",2023-06-22,2024-02-14,"normal","owner surrender","otc","move",2024-02-28,"1000 BLK E FREELAND STREET LONG BEACH CA 90807","Long Beach","adoption","web",33.8397387,-118.1817508,FALSE,TRUE,"33.8397387, -118.1817508","other","normal"
"90","A702967","*suri","cat","black","white","Female",2023-06-29,2023-07-15,"ill mild","stray","otc",NA,2023-07-15,"1000 BLK E HILL STREET LONG BEACH CA 90806","Long Beach","euthanasia","ill severe",33.7969425,-118.1804227,TRUE,FALSE,"33.7969425, -118.1804227","black","mild"
"91","A683267","kitty","cat","calico",NA,"Spayed",2022-03-17,2022-09-07,"normal","owner surrender","otc","too many",2022-10-01,"100 BLK E 52ND ST, LONG BEACH, CA 90805","Long Beach","adoption","web",33.8504744,-118.1936361,FALSE,TRUE,"33.8504744, -118.1936361","multi","normal"
"92","A644713",NA,"cat","silver lynx point",NA,"Spayed",2020-03-02,2020-07-02,"normal","stray","otc",NA,2020-07-09,"100 BLK E 52ND ST, LONG BEACH, CA 90805","Long Beach","rescue","catpaws",33.8504744,-118.1936361,FALSE,TRUE,"33.8504744, -118.1936361","grey","normal"
"93","A690415","suki/felina","cat","calico",NA,"Spayed",2022-04-28,2022-08-17,"normal","owner surrender","otc","owner prob",2022-08-28,"100 BLK E 52ND ST, LONG BEACH, CA 90805","Long Beach","adoption",NA,33.8504744,-118.1936361,FALSE,TRUE,"33.8504744, -118.1936361","multi","normal"
